lng	lat	fecha	evento	domicilio
-62.26443	-38.71811	2016/01/05 09:17:21	3	VALENTIN ALSINA 
-62.2712	-38.71461	2016/01/05 09:40:10	3	ESTOMBA 300
-62.29152	-38.6886	2016/01/05 10:25:23	3	EVARISTO CARRIEGO 270
-62.25983	-38.7233	2016/01/05 10:44:09	3	CHICLANA esq. UNDIANO
-62.26804	-38.71782	2016/01/05 11:05:41	6	MORENO 
-62.26593	-38.70504	2016/01/05 11:11:32	3	SALTA 300
-62.27637	-38.71569	2016/01/05 11:20:45	8	GUEMES esq. PATRICIOS
-62.24602	-38.7319	2016/01/05 11:22:45	3	REMEDIOS DE ESCALADA DE SAN MARTIN 
-62.26025	-38.71466	2016/01/05 11:26:10	0	AVDA ALEM esq. VALENTIN ALSINA
-62.2925	-38.69019	2016/01/05 11:33:10	3	EL RESERO 300
-62.222	-38.70705	2016/01/05 11:35:10	3	14 DE JULIO 300
-62.26589	-38.71252	2016/01/05 12:16:32	0	19 DE MAYO esq. ALVARADO
-62.26035	-38.71649	2016/01/05 12:43:24	3	BELGRANO 300
-62.25825	-38.78412	2016/01/05 12:59:03	3	CORBETA URUGUAY 330
-62.29065	-38.73151	2016/01/05 13:18:08	3	PAMPA CENTRAL 300
-62.22933	-38.7235	2016/01/05 14:04:44	6	CNEL ROSALES esq. HAITI
-62.29367	-38.73087	2016/01/05 14:19:02	3	CHACO 300
-62.26389	-38.75089	2016/01/05 14:27:59	3	ECUADOR esq. EMILIO ROSAS
-62.29779	-38.72765	2016/01/05 14:41:41	6	CHACO esq. BRAVARD
-62.27638	-38.77155	2016/01/05 14:44:56	10	LAUTARO 240
-62.24697	-38.71988	2016/01/05 15:02:06	6	BALBOA 600
-62.26849	-38.72153	2016/01/05 15:52:15	0	O HIGGINS esq. SAAVEDRA
-62.2606	-38.71672	2016/01/05 16:03:57	7	BELGRANO esq. LA MADRID
-62.2569	-38.75526	2016/01/05 16:50:26	3	EMILIO ROSAS 330
-62.27681	-38.75421	2016/01/05 17:12:19	9	FELIX FRIAS esq. LUIS PIEDRA BUENA
-62.30172	-38.72136	2016/01/05 17:45:24	0	BRASIL esq. JUJUY
-62.27162	-38.7547	2016/01/05 17:58:23	3	LOS PATOS 240
-62.27185	-38.68384	2016/01/05 18:43:47	6	LEONIDAS LUCERO esq. INT EDUARDO GONZALEZ
-62.262901	-38.778415	2016/01/05 20:00:32	3	BRIHUEGA 330
-62.27152	-38.73798	2016/01/05 20:50:46	3	ING LUIGGI 120
-62.22148	-38.73054	2016/01/05 21:12:24	3	HUAURA 150
-62.26255	-38.71341	2016/01/05 21:49:34	6	SARMIENTO esq. ZAPIOLA
-62.20538	-38.68612	2016/01/05 21:53:11	11	SARRATEA 480
-62.24828	-38.76023	2016/01/05 22:02:45	3	TIERRA DEL FUEGO 330
-62.28122	-38.70874	2016/01/05 22:27:50	0	VICENTE LOPEZ esq. ENTRE RIOS
-62.27459	-38.76767	2016/01/05 22:28:45	12	MANUEL CASTRO BARROS 240
-62.22285	-38.72729	2016/01/05 22:37:18	3	JUAN BAUTISTA BAIGORRIA 240
-62.254051	-38.757404	2016/01/05 22:49:24	3	EMILIO ROSAS 360
-62.26386	-38.71765	2016/01/05 22:59:43	6	VALENTIN ALSINA esq. SAN MARTIN
-62.30833	-38.706	2016/01/05 23:34:06	3	ISLAS MALVINAS 270
-62.29514	-38.72975	2016/01/05 23:42:35	3	CHACO 600
-62.30176	-38.69649	2016/01/05 23:59:18	3	GUEMES 270
-62.30985	-38.71844	2016/01/06 00:01:19	0	17 DE MAYO esq. CHACO
-62.28094	-38.72744	2016/01/06 00:23:16	3	ISLAS MALVINAS 
-62.30637	-38.72196	2016/01/06 02:03:16	3	JUNIN 180
-62.24138	-38.74472	2016/01/06 02:15:27	3	ESMERALDA 300
-62.26348	-38.7271	2016/01/06 02:39:28	2	BERUTI 600
-62.26885	-38.69999	2016/01/06 02:54:05	0	12 DE OCTUBRE esq. CORDOBA
-62.2698	-38.71886	2016/01/06 03:14:12	6	VIEYTES 
-62.19492	-38.68707	2016/01/06 06:51:12	3	CAP JUSTO BERMUDEZ 540
-62.27363	-38.76663	2016/01/06 08:54:32	3	DANIEL DE SOLIER 2453 MONOBLOCK 10 DTO D 
-62.29012	-38.712	2016/01/06 09:34:03	3	BRASIL 600
-62.27618	-38.72587	2016/01/06 09:34:23	3	AVDA COLON 600
-62.30101	-38.69619	2016/01/06 10:16:32	3	DR ANTONIO MONTEIRO EX LOS CHAÑARES 270
-62.27358	-38.72738	2016/01/06 10:30:54	3	DONADO 600
-62.27069	-38.7182	2016/01/06 11:27:56	6	VIEYTES 
-62.26463	-38.72527	2016/01/06 11:33:26	0	VILLARINO 
-62.3055	-38.72327	2016/01/06 12:35:28	3	AVDA LA PLATA 180
-62.298942	-38.598396	2016/01/06 13:05:10	0	RUTA 33 KM 2
-62.2499	-38.75711	2016/01/06 13:18:09	3	LA NIÑA 120
-62.26398	-38.71956	2016/01/06 13:59:08	6	BELGRANO 
-62.24077	-38.73595	2016/01/06 14:14:22	3	PUNTA ALTA 
-62.56826	-38.7535	2016/01/06 15:22:38	0	CONTROL 
-62.28577	-38.72845	2016/01/06 17:54:42	9	DON BOSCO esq. GORRITI
-62.26157	-38.75322	2016/01/06 18:49:05	6	NUEVA PROVINCIA 210
-62.24996	-38.74366	2016/01/06 19:40:26	3	TARAPACA 600
-62.31385	-38.72167	2016/01/06 19:58:02	3	GRAL PABLO RICCHIERI 180
-62.2604	-38.72014	2016/01/06 20:19:32	6	LAVALLE 
-62.26596	-38.71614	2016/01/06 20:23:24	3	SARMIENTO 
-62.24748	-38.71952	2016/01/06 21:44:43	9	BALBOA 600
-62.26443	-38.71811	2016/01/06 22:37:46	6	VALENTIN ALSINA 
-62.31162	-38.70424	2016/01/06 22:52:32	3	PBRO JUAN BAUTISTA BIGIO 900
-62.22573	-38.73606	2016/01/06 23:29:52	3	BALBOA 270
-62.25281	-38.71123	2016/01/06 23:53:50	3	RINCON 300
-62.24932	-38.75583	2016/01/06 23:59:55	3	SANTA MARIA 120
-62.28939	-38.72269	2016/01/07 00:08:24	0	JUAN MOLINA esq. AVELLANEDA
-62.30297	-38.73442	2016/01/07 00:43:42	3	BELISARIO ROLDAN 240
-62.19213	-38.72161	2016/01/07 02:14:18	3	SAN JOSE 360
-62.25991	-38.7736	2016/01/07 04:29:48	3	GUAYAQUIL 330
-62.22348	-38.7294	2016/01/07 04:56:30	3	CACIQUE VENANCIO 150
-62.26646	-38.71816	2016/01/07 05:54:36	0	CHICLANA esq. AVDA COLON
-62.27831	-38.6937	2016/01/07 08:20:23	0	AVDA ALEM 210
-62.26155	-38.72198	2016/01/07 08:52:50	6	CHICLANA 300
-62.26122	-38.72796	2016/01/07 09:01:54	3	25 DE MAYO 255 PISO 5 DTO 
-62.2662	-38.71394	2016/01/07 09:53:28	6	MITRE 
-62.30101	-38.72802	2016/01/07 10:40:39	3	CNEL CHARLONE 180
-62.24961	-38.71429	2016/01/07 11:07:57	3	SGTO CABRAL 900
-62.24856	-38.75431	2016/01/07 11:12:51	3	CNEL RAMON L FALCON 270
-62.27683	-38.73065	2016/01/07 11:55:48	3	CAP BRICKMAN 
-62.29454	-38.72684	2016/01/07 12:05:03	3	JUAN MOLINA esq. JUJUY
-62.26475	-38.72019	2016/01/07 12:36:50	6	DONADO 
-62.26623	-38.71224	2016/01/07 13:31:54	3	ALVARADO 300
-62.31142	-38.71969	2016/01/07 13:48:37	3	17 DE MAYO 180
-62.24228	-38.73554	2016/01/07 15:08:13	3	RASTREADOR FOURNIER 
-62.28612	-38.72007	2016/01/07 16:07:54	6	JUAN MOLINA esq. DR SIXTO LASPIUR
-62.27041	-38.72537	2016/01/07 16:08:02	3	THOMPSON 
-62.29321	-38.68211	2016/01/07 16:21:41	3	AVDA ALEM 330
-62.24464	-38.74739	2016/01/07 16:58:57	3	ESMERALDA 600
-62.22148	-38.73054	2016/01/07 17:41:26	3	HUAURA 150
-62.27775	-38.71161	2016/01/07 17:59:10	15	BRAVARD 
-62.28593	-38.74933	2016/01/07 18:13:47	0	FACUNDO ZUBIRIA 900
-62.30076	-38.68939	2016/01/07 18:28:09	3	ZELARRAYAN 330
-62.28996	-38.72227	2016/01/07 19:48:43	3	AVELLANEDA 600
-62.27225	-38.74834	2016/01/07 20:18:46	7	GRAL ARIAS 120
-62.23547	-38.72346	2016/01/07 20:49:00	11	SEN MANUEL LAINEZ esq. REMEDIOS DE ESCALADA DE SAN MARTIN
-62.29924	-38.69978	2016/01/07 21:15:04	11	CASTELLI 240
-62.26836	-38.71992	2016/01/07 21:33:53	3	BROWN 
-62.29113	-38.73278	2016/01/07 21:43:35	0	CHACO 300
-62.26736	-38.73293	2016/01/07 22:01:57	0	ANGEL BRUNEL esq. 25 DE MAYO
-62.27994	-38.73161	2016/01/07 23:05:45	3	TTE FARIAS 
-62.29047	-38.68765	2016/01/07 23:37:11	3	PANAMA 270
-62.24877	-38.72293	2016/01/08 00:41:31	3	CORRIENTES 900
-62.27477	-38.74059	2016/01/08 01:06:10	12	TIERRA DEL FUEGO 900
-62.27235	-38.71245	2016/01/08 01:26:41	3	ELISEO CASANOVA 48 TORRE1 
-62.27005	-38.74697	2016/01/08 01:46:54	3	JUAN CITTA 180
-62.27523	-38.71478	2016/01/08 02:34:23	0	VIEYTES esq. PATRICIOS
-62.22933	-38.7235	2016/01/08 02:46:15	0	HAITI esq. CNEL ROSALES
